validator,fpr,tpr,auc
GNN Anomaly Detector,0.0,0.0,0.9161308475239772
GNN Anomaly Detector,0.0,0.11450381679389313,0.9161308475239772
GNN Anomaly Detector,0.0010256410256410256,0.11450381679389313,0.9161308475239772
GNN Anomaly Detector,0.0010256410256410256,0.11545801526717557,0.9161308475239772
GNN Anomaly Detector,0.0015384615384615385,0.11545801526717557,0.9161308475239772
GNN Anomaly Detector,0.0015384615384615385,0.11736641221374046,0.9161308475239772
GNN Anomaly Detector,0.002564102564102564,0.11736641221374046,0.9161308475239772
GNN Anomaly Detector,0.002564102564102564,0.12118320610687022,0.9161308475239772
GNN Anomaly Detector,0.003076923076923077,0.12118320610687022,0.9161308475239772
GNN Anomaly Detector,0.003076923076923077,0.13454198473282442,0.9161308475239772
GNN Anomaly Detector,0.0035897435897435897,0.13454198473282442,0.9161308475239772
GNN Anomaly Detector,0.0035897435897435897,0.14122137404580154,0.9161308475239772
GNN Anomaly Detector,0.0041025641025641026,0.14122137404580154,0.9161308475239772
GNN Anomaly Detector,0.0041025641025641026,0.14599236641221375,0.9161308475239772
GNN Anomaly Detector,0.0041025641025641026,0.14790076335877864,0.9161308475239772
GNN Anomaly Detector,0.0041025641025641026,0.14885496183206107,0.9161308475239772
GNN Anomaly Detector,0.004615384615384616,0.14885496183206107,0.9161308475239772
GNN Anomaly Detector,0.004615384615384616,0.16221374045801526,0.9161308475239772
GNN Anomaly Detector,0.005128205128205128,0.16221374045801526,0.9161308475239772
GNN Anomaly Detector,0.005128205128205128,0.16412213740458015,0.9161308475239772
GNN Anomaly Detector,0.0056410256410256415,0.16412213740458015,0.9161308475239772
GNN Anomaly Detector,0.0056410256410256415,0.16793893129770993,0.9161308475239772
GNN Anomaly Detector,0.006153846153846154,0.16793893129770993,0.9161308475239772
GNN Anomaly Detector,0.006153846153846154,0.17080152671755724,0.9161308475239772
GNN Anomaly Detector,0.006666666666666667,0.17080152671755724,0.9161308475239772
GNN Anomaly Detector,0.006666666666666667,0.1736641221374046,0.9161308475239772
GNN Anomaly Detector,0.0071794871794871795,0.1736641221374046,0.9161308475239772
GNN Anomaly Detector,0.0071794871794871795,0.17557251908396945,0.9161308475239772
GNN Anomaly Detector,0.007692307692307693,0.17557251908396945,0.9161308475239772
GNN Anomaly Detector,0.007692307692307693,0.1784351145038168,0.9161308475239772
GNN Anomaly Detector,0.008205128205128205,0.1784351145038168,0.9161308475239772
GNN Anomaly Detector,0.008205128205128205,0.18416030534351144,0.9161308475239772
GNN Anomaly Detector,0.008717948717948718,0.18416030534351144,0.9161308475239772
GNN Anomaly Detector,0.008717948717948718,0.18702290076335878,0.9161308475239772
