scenario,detection_rate,false_positive_rate,avg_time_ms
All signals,0.7643129770992366,0.0005128205128205128,4.592775183455637
No anomaly,0.7490458015267175,0.003076923076923077,4.542861907938625
No aspa,0.875,0.0015384615384615385,4.560863909272849
No delta,0.7662213740458015,0.0005128205128205128,3.2436691127418276
No gnn,0.6870229007633588,0.0,3.0934022681787856
No otc,0.7356870229007634,0.0005128205128205128,4.578425617078052
No rpki,0.7938931297709924,0.0010256410256410256,4.3534523015343565
No selective,0.8702290076335878,0.016923076923076923,3.1961240827218145
