validator,fpr,tpr,auc
GNN Anomaly Detector,0.0,0.0,0.9149458333333333
GNN Anomaly Detector,0.0,0.125,0.9149458333333333
GNN Anomaly Detector,0.0,0.12666666666666668,0.9149458333333333
GNN Anomaly Detector,0.0008333333333333334,0.12666666666666668,0.9149458333333333
GNN Anomaly Detector,0.0008333333333333334,0.12833333333333333,0.9149458333333333
GNN Anomaly Detector,0.00125,0.12833333333333333,0.9149458333333333
GNN Anomaly Detector,0.00125,0.13166666666666665,0.9149458333333333
GNN Anomaly Detector,0.0020833333333333333,0.13166666666666665,0.9149458333333333
GNN Anomaly Detector,0.0020833333333333333,0.135,0.9149458333333333
GNN Anomaly Detector,0.0025,0.135,0.9149458333333333
GNN Anomaly Detector,0.0025,0.14333333333333334,0.9149458333333333
GNN Anomaly Detector,0.002916666666666667,0.14333333333333334,0.9149458333333333
GNN Anomaly Detector,0.002916666666666667,0.145,0.9149458333333333
GNN Anomaly Detector,0.0033333333333333335,0.145,0.9149458333333333
GNN Anomaly Detector,0.0033333333333333335,0.14666666666666667,0.9149458333333333
GNN Anomaly Detector,0.00375,0.14666666666666667,0.9149458333333333
GNN Anomaly Detector,0.00375,0.155,0.9149458333333333
GNN Anomaly Detector,0.004166666666666667,0.155,0.9149458333333333
GNN Anomaly Detector,0.004166666666666667,0.16833333333333333,0.9149458333333333
GNN Anomaly Detector,0.004583333333333333,0.16833333333333333,0.9149458333333333
GNN Anomaly Detector,0.004583333333333333,0.18833333333333332,0.9149458333333333
GNN Anomaly Detector,0.005416666666666667,0.18833333333333332,0.9149458333333333
GNN Anomaly Detector,0.005416666666666667,0.19166666666666668,0.9149458333333333
GNN Anomaly Detector,0.005833333333333334,0.19166666666666668,0.9149458333333333
GNN Anomaly Detector,0.005833333333333334,0.19333333333333333,0.9149458333333333
GNN Anomaly Detector,0.00625,0.19333333333333333,0.9149458333333333
GNN Anomaly Detector,0.00625,0.195,0.9149458333333333
GNN Anomaly Detector,0.007083333333333333,0.195,0.9149458333333333
GNN Anomaly Detector,0.007083333333333333,0.19666666666666666,0.9149458333333333
GNN Anomaly Detector,0.0075,0.19666666666666666,0.9149458333333333
GNN Anomaly Detector,0.0075,0.19833333333333333,0.9149458333333333
GNN Anomaly Detector,0.007916666666666667,0.19833333333333333,0.9149458333333333
GNN Anomaly Detector,0.007916666666666667,0.205,0.9149458333333333
GNN Anomaly Detector,0.008333333333333333,0.205,0.9149458333333333
GNN Anomaly Detector,0.008333333333333333,0.20666666666666667,0.9149458333333333
GNN Anomaly Detector,0.00875,0.20666666666666667,0.9149458333333333
GNN Anomaly Detector,0.00875,0.22,0.9149458333333333
GNN Anomaly Detector,0.009166666666666667,0.22,0.9149458333333333
GNN Anomaly Detector,0.009166666666666667,0.225,0.9149458333333333
GNN Anomaly Detector,0.01,0.225,0.9149458333333333
GNN Anomaly Detector,0.01,0.23666666666666666,0.9149458333333333
GNN Anomaly Detector,0.010416666666666666,0.23666666666666666,0.9149458333333333
GNN Anomaly Detector,0.010416666666666666,0.245,0.9149458333333333
GNN Anomaly Detector,0.01125,0.245,0.9149458333333333
GNN Anomaly Detector,0.01125,0.24666666666666667,0.9149458333333333
GNN Anomaly Detector,0.011666666666666667,0.24666666666666667,0.9149458333333333
GNN Anomaly Detector,0.011666666666666667,0.25833333333333336,0.9149458333333333
GNN Anomaly Detector,0.012083333333333333,0.25833333333333336,0.9149458333333333
GNN Anomaly Detector,0.012083333333333333,0.26166666666666666,0.9149458333333333
GNN Anomaly Detector,0.0125,0.26166666666666666,0.9149458333333333
GNN Anomaly Detector,0.0125,0.265,0.9149458333333333
GNN Anomaly Detector,0.01375,0.265,0.9149458333333333
GNN Anomaly Detector,0.01375,0.26666666666666666,0.9149458333333333
GNN Anomaly Detector,0.014166666666666666,0.26666666666666666,0.9149458333333333
GNN Anomaly Detector,0.014166666666666666,0.27,0.9149458333333333
GNN Anomaly Detector,0.014583333333333334,0.27,0.9149458333333333
GNN Anomaly Detector,0.014583333333333334,0.2733333333333333,0.9149458333333333
GNN Anomaly Detector,0.015416666666666667,0.2733333333333333,0.9149458333333333
GNN Anomaly Detector,0.015416666666666667,0.27666666666666667,0.9149458333333333
GNN Anomaly Detector,0.01625,0.27666666666666667,0.9149458333333333
GNN Anomaly Detector,0.01625,0.28,0.9149458333333333
GNN Anomaly Detector,0.016666666666666666,0.28,0.9149458333333333
GNN Anomaly Detector,0.016666666666666666,0.2833333333333333,0.9149458333333333
GNN Anomaly Detector,0.0175,0.2833333333333333,0.9149458333333333
GNN Anomaly Detector,0.0175,0.285,0.9149458333333333
GNN Anomaly Detector,0.017916666666666668,0.285,0.9149458333333333
GNN Anomaly Detector,0.017916666666666668,0.29,0.9149458333333333
GNN Anomaly Detector,0.01875,0.29,0.9149458333333333
GNN Anomaly Detector,0.01875,0.29833333333333334,0.9149458333333333
GNN Anomaly Detector,0.019583333333333335,0.29833333333333334,0.9149458333333333
GNN Anomaly Detector,0.019583333333333335,0.31333333333333335,0.9149458333333333
GNN Anomaly Detector,0.020416666666666666,0.31333333333333335,0.9149458333333333
GNN Anomaly Detector,0.020416666666666666,0.31833333333333336,0.9149458333333333
GNN Anomaly Detector,0.02125,0.31833333333333336,0.9149458333333333
GNN Anomaly Detector,0.02125,0.32,0.9149458333333333
GNN Anomaly Detector,0.022083333333333333,0.32,0.9149458333333333
GNN Anomaly Detector,0.022083333333333333,0.325,0.9149458333333333
GNN Anomaly Detector,0.0225,0.325,0.9149458333333333
GNN Anomaly Detector,0.0225,0.32666666666666666,0.9149458333333333
GNN Anomaly Detector,0.023333333333333334,0.32666666666666666,0.9149458333333333
GNN Anomaly Detector,0.023333333333333334,0.3283333333333333,0.9149458333333333
GNN Anomaly Detector,0.025416666666666667,0.3283333333333333,0.9149458333333333
GNN Anomaly Detector,0.025416666666666667,0.33166666666666667,0.9149458333333333
GNN Anomaly Detector,0.025833333333333333,0.33166666666666667,0.9149458333333333
GNN Anomaly Detector,0.025833333333333333,0.3333333333333333,0.9149458333333333
GNN Anomaly Detector,0.02625,0.3333333333333333,0.9149458333333333
GNN Anomaly Detector,0.02625,0.3433333333333333,0.9149458333333333
GNN Anomaly Detector,0.02666666666666667,0.3433333333333333,0.9149458333333333
GNN Anomaly Detector,0.02666666666666667,0.34833333333333333,0.9149458333333333
GNN Anomaly Detector,0.027083333333333334,0.34833333333333333,0.9149458333333333
