validator,fpr,tpr,auc
GNN Anomaly Detector,0.0,0.0,0.9479799666110185
GNN Anomaly Detector,0.0,0.09515859766277128,0.9479799666110185
GNN Anomaly Detector,0.0,0.09682804674457429,0.9479799666110185
GNN Anomaly Detector,0.0004166666666666667,0.09682804674457429,0.9479799666110185
GNN Anomaly Detector,0.0004166666666666667,0.11018363939899833,0.9479799666110185
GNN Anomaly Detector,0.00125,0.11018363939899833,0.9479799666110185
GNN Anomaly Detector,0.00125,0.11185308848080133,0.9479799666110185
GNN Anomaly Detector,0.0016666666666666668,0.11185308848080133,0.9479799666110185
GNN Anomaly Detector,0.0016666666666666668,0.11686143572621036,0.9479799666110185
GNN Anomaly Detector,0.0020833333333333333,0.11686143572621036,0.9479799666110185
GNN Anomaly Detector,0.0020833333333333333,0.12020033388981637,0.9479799666110185
GNN Anomaly Detector,0.0033333333333333335,0.12020033388981637,0.9479799666110185
GNN Anomaly Detector,0.0033333333333333335,0.12353923205342238,0.9479799666110185
GNN Anomaly Detector,0.00375,0.12353923205342238,0.9479799666110185
GNN Anomaly Detector,0.00375,0.1285475792988314,0.9479799666110185
GNN Anomaly Detector,0.004166666666666667,0.1285475792988314,0.9479799666110185
GNN Anomaly Detector,0.004166666666666667,0.1335559265442404,0.9479799666110185
GNN Anomaly Detector,0.004583333333333333,0.1335559265442404,0.9479799666110185
GNN Anomaly Detector,0.004583333333333333,0.1352253756260434,0.9479799666110185
GNN Anomaly Detector,0.005,0.1352253756260434,0.9479799666110185
GNN Anomaly Detector,0.005,0.14524207011686144,0.9479799666110185
GNN Anomaly Detector,0.005416666666666667,0.14524207011686144,0.9479799666110185
GNN Anomaly Detector,0.005416666666666667,0.14691151919866444,0.9479799666110185
GNN Anomaly Detector,0.005833333333333334,0.14691151919866444,0.9479799666110185
GNN Anomaly Detector,0.005833333333333334,0.15358931552587646,0.9479799666110185
GNN Anomaly Detector,0.00625,0.15358931552587646,0.9479799666110185
GNN Anomaly Detector,0.00625,0.17362270450751252,0.9479799666110185
GNN Anomaly Detector,0.006666666666666667,0.17362270450751252,0.9479799666110185
GNN Anomaly Detector,0.006666666666666667,0.20868113522537562,0.9479799666110185
GNN Anomaly Detector,0.007083333333333333,0.20868113522537562,0.9479799666110185
GNN Anomaly Detector,0.007083333333333333,0.21869782971619364,0.9479799666110185
GNN Anomaly Detector,0.0075,0.21869782971619364,0.9479799666110185
