scenario,detection_rate,false_positive_rate,avg_time_ms
All signals,0.7262103505843072,0.0,4.570163387795932
No anomaly,0.7078464106844741,0.0020833333333333333,4.5213804601533845
No aspa,0.8631051752921536,0.0033333333333333335,4.539199733244415
No delta,0.7195325542570952,0.0004166666666666667,3.2442880960320104
No gnn,0.66110183639399,0.0,3.069996665555185
No otc,0.7045075125208681,0.0008333333333333334,4.556278759586529
No rpki,0.7629382303839732,0.0025,4.336152050683561
No selective,0.8797996661101837,0.0125,3.1672057352450818
