validator,fpr,tpr,auc
GNN Anomaly Detector,0.0,0.0,0.9579831932773109
GNN Anomaly Detector,0.0,0.06451612903225806,0.9579831932773109
GNN Anomaly Detector,0.0,0.0967741935483871,0.9579831932773109
GNN Anomaly Detector,0.004201680672268907,0.0967741935483871,0.9579831932773109
GNN Anomaly Detector,0.004201680672268907,0.12903225806451613,0.9579831932773109
GNN Anomaly Detector,0.008403361344537815,0.12903225806451613,0.9579831932773109
GNN Anomaly Detector,0.008403361344537815,0.1774193548387097,0.9579831932773109
GNN Anomaly Detector,0.012605042016806723,0.1774193548387097,0.9579831932773109
GNN Anomaly Detector,0.012605042016806723,0.20967741935483872,0.9579831932773109
GNN Anomaly Detector,0.01680672268907563,0.20967741935483872,0.9579831932773109
GNN Anomaly Detector,0.01680672268907563,0.41935483870967744,0.9579831932773109
GNN Anomaly Detector,0.025210084033613446,0.41935483870967744,0.9579831932773109
GNN Anomaly Detector,0.025210084033613446,0.43548387096774194,0.9579831932773109
GNN Anomaly Detector,0.037815126050420166,0.43548387096774194,0.9579831932773109
GNN Anomaly Detector,0.037815126050420166,0.4838709677419355,0.9579831932773109
GNN Anomaly Detector,0.04201680672268908,0.4838709677419355,0.9579831932773109
GNN Anomaly Detector,0.04201680672268908,0.5161290322580645,0.9579831932773109
GNN Anomaly Detector,0.05042016806722689,0.5161290322580645,0.9579831932773109
GNN Anomaly Detector,0.05042016806722689,0.6612903225806451,0.9579831932773109
GNN Anomaly Detector,0.0546218487394958,0.6612903225806451,0.9579831932773109
GNN Anomaly Detector,0.0546218487394958,0.7096774193548387,0.9579831932773109
GNN Anomaly Detector,0.058823529411764705,0.7096774193548387,0.9579831932773109
GNN Anomaly Detector,0.058823529411764705,0.8548387096774194,0.9579831932773109
GNN Anomaly Detector,0.06302521008403361,0.8548387096774194,0.9579831932773109
GNN Anomaly Detector,0.06302521008403361,0.8709677419354839,0.9579831932773109
GNN Anomaly Detector,0.06722689075630252,0.8709677419354839,0.9579831932773109
GNN Anomaly Detector,0.06722689075630252,0.8870967741935484,0.9579831932773109
GNN Anomaly Detector,0.07563025210084033,0.8870967741935484,0.9579831932773109
GNN Anomaly Detector,0.07563025210084033,0.9193548387096774,0.9579831932773109
GNN Anomaly Detector,0.07983193277310924,0.9193548387096774,0.9579831932773109
GNN Anomaly Detector,0.07983193277310924,0.9354838709677419,0.9579831932773109
GNN Anomaly Detector,0.08823529411764706,0.9354838709677419,0.9579831932773109
GNN Anomaly Detector,0.08823529411764706,0.967741935483871,0.9579831932773109
GNN Anomaly Detector,0.21008403361344538,0.967741935483871,0.9579831932773109
GNN Anomaly Detector,0.21008403361344538,1.0,0.9579831932773109
GNN Anomaly Detector,0.5,1.0,0.9579831932773109
GNN Anomaly Detector,0.5084033613445378,1.0,0.9579831932773109
GNN Anomaly Detector,0.9411764705882353,1.0,0.9579831932773109
GNN Anomaly Detector,0.9495798319327731,1.0,0.9579831932773109
GNN Anomaly Detector,1.0,1.0,0.9579831932773109
Path Plausibility,0.0,0.0,0.9855651938194634
Path Plausibility,0.0,0.016129032258064516,0.9855651938194634
Path Plausibility,0.0,0.7741935483870968,0.9855651938194634
Path Plausibility,0.004201680672268907,0.7741935483870968,0.9855651938194634
Path Plausibility,0.004201680672268907,0.8064516129032258,0.9855651938194634
Path Plausibility,0.008403361344537815,0.8064516129032258,0.9855651938194634
Path Plausibility,0.008403361344537815,0.8387096774193549,0.9855651938194634
Path Plausibility,0.029411764705882353,0.8387096774193549,0.9855651938194634
Path Plausibility,0.029411764705882353,0.8548387096774194,0.9855651938194634
Path Plausibility,0.03361344537815126,0.8548387096774194,0.9855651938194634
Path Plausibility,0.03361344537815126,0.8870967741935484,0.9855651938194634
Path Plausibility,0.04201680672268908,0.8870967741935484,0.9855651938194634
Path Plausibility,0.04201680672268908,0.9032258064516129,0.9855651938194634
Path Plausibility,0.06302521008403361,0.9032258064516129,0.9855651938194634
Path Plausibility,0.06302521008403361,0.9193548387096774,0.9855651938194634
Path Plausibility,0.06722689075630252,0.9193548387096774,0.9855651938194634
Path Plausibility,0.06722689075630252,0.9354838709677419,0.9855651938194634
Path Plausibility,0.07983193277310924,0.9354838709677419,0.9855651938194634
Path Plausibility,0.07983193277310924,0.9516129032258065,0.9855651938194634
Path Plausibility,0.08403361344537816,0.9516129032258065,0.9855651938194634
Path Plausibility,0.08403361344537816,0.967741935483871,0.9855651938194634
Path Plausibility,0.09663865546218488,0.967741935483871,0.9855651938194634
Path Plausibility,0.09663865546218488,0.9838709677419355,0.9855651938194634
Path Plausibility,0.3403361344537815,0.9838709677419355,0.9855651938194634
Path Plausibility,0.3403361344537815,1.0,0.9855651938194634
Path Plausibility,1.0,1.0,0.9855651938194634
