coverage,validator,detection_rate
0.05,RPKI,0.016129032258064516
0.05,ASPA,0.7096774193548387
0.05,OTC,0.2903225806451613
0.25,RPKI,0.0
0.25,ASPA,0.7096774193548387
0.25,OTC,0.2903225806451613
0.5,RPKI,0.03225806451612903
0.5,ASPA,0.7096774193548387
0.5,OTC,0.2903225806451613
0.75,RPKI,0.06451612903225806
0.75,ASPA,0.7096774193548387
0.75,OTC,0.2903225806451613
1.0,RPKI,0.08064516129032258
1.0,ASPA,0.7096774193548387
1.0,OTC,0.2903225806451613
