scenario,detection_rate,false_positive_rate,avg_time_ms
All signals,0.7419354838709677,0.004201680672268907,4.639366666666667
No anomaly,0.7258064516129032,0.0,4.5904
No aspa,0.8225806451612904,0.0,4.612633333333334
No delta,0.7580645161290323,0.0,3.2303666666666664
No gnn,0.7096774193548387,0.0,3.1415333333333333
No otc,0.7258064516129032,0.0,4.6257
No rpki,0.8225806451612904,0.004201680672268907,4.3793
No selective,0.8709677419354839,0.008403361344537815,3.275
