scenario,detection_rate,false_positive_rate,avg_time_ms
All signals,0.745,0.0004166666666666667,4.585406666666667
No anomaly,0.7366666666666667,0.0033333333333333335,4.53546
No aspa,0.865,0.00125,4.553393333333333
No delta,0.7666666666666667,0.0004166666666666667,3.2527466666666665
No gnn,0.6633333333333333,0.0,3.0860166666666666
No otc,0.7216666666666667,0.0004166666666666667,4.571153333333332
No rpki,0.7983333333333333,0.0008333333333333334,4.34394
No selective,0.8583333333333333,0.017916666666666668,3.1816699999999996
