validator,detection_rate,false_positive_rate,avg_time_ms,total_time_ms,security_cost_ratio,n_attacks,n_legit,n_detected,n_fp
RPKI,0.1894,0.0,0.230606,1149.34,0.8212,734,4250,139,0
Selective: Origin Only,0.5872,0.0,0.5,2492.0,1.1744,734,4250,431,0
Origin + 1st Hop,0.8161,0.0,0.991473,4941.5,0.8231,734,4250,599,0
Origin + Last Hop,0.8338,0.0,0.991473,4941.5,0.841,734,4250,612,0
Origin + 1st + Last,0.9496,0.0,1.440409,7179.0,0.6593,734,4250,697,0
Origin + 2 Hops + Last,0.9809,0.0,1.689306,8419.5,0.5807,734,4250,720,0
BGPsec (Full Path),0.9837,0.0,1.732243,8633.5,0.5678,734,4250,722,0
Anomaly Detector,0.7616,0.0,0.05,249.2,15.2316,734,4250,559,0
Selective + Anomaly,0.9809,0.0,1.490409,7428.2,0.6582,734,4250,720,0
