scenario,detection_rate,false_positive_rate,avg_time_ms
All signals,0.7579365079365079,0.0,5.067753999999999
No anomaly,0.7433862433862434,0.00117813383600377,5.018047999999999
No aspa,0.8809523809523809,0.000471253534401508,5.029596000000001
No delta,0.7632275132275133,0.000235626767200754,3.3121400000000003
No gnn,0.6851851851851852,0.0,3.5679619999999996
No otc,0.7314814814814815,0.000235626767200754,5.053273999999999
No rpki,0.7896825396825397,0.000471253534401508,4.836784
No selective,0.8664021164021164,0.013430725730442978,3.6001540000000003
